id,driver_id,rider_id,date_time,utc_offset,service,origin_lat,origin_lon,dest_lat,dest_lon,distance,duration,cancelled,star_rating
0000000001,220200000214,220200000084,2017-02-01 00:14,-6,,46.850956,-96.902849,46.860050,-96.825442,10123,729,0,5
0000000002,220200000107,220200000462,2017-02-01 00:36,-6,,46.900432,-96.765807,46.840588,-96.868087,16043,1299,0,5
0000000003,220200000214,220200000489,2017-02-01 02:26,-6,Noir,46.868382,-96.902718,46.815272,-96.862056,9362,736,0,5
0000000004,220200000067,220200000057,2017-02-01 03:00,-6,,46.908567,-96.905391,46.904380,-96.793999,9060,773,0,5
0000000005,220200000067,220200000012,2017-02-01 03:49,-6,,46.895864,-96.805807,46.869030,-96.785232,5076,721,0,5
0000000006,220200000214,220200000157,2017-02-01 03:53,-6,,46.840562,-96.916740,46.850929,-96.883703,4683,427,0,5
0000000007,220200000067,220200000499,2017-02-01 04:13,-6,,46.920253,-96.780229,46.874190,-96.788312,6230,699,0,3
0000000008,220200000214,220200000256,2017-02-01 04:28,-6,,46.846283,-96.801273,46.874445,-96.793427,3824,501,0,2
0000000009,220200000067,220200000259,2017-02-01 04:43,-6,,46.862615,-96.788374,46.858239,-96.799548,1366,257,0,5
0000000010,220200000214,220200000584,2017-02-01 05:01,-6,,46.882033,-96.703536,46.839506,-96.766937,10510,883,0,5
0000000011,220200000067,220200000388,2017-02-01 05:04,-6,,46.855897,-96.913525,46.892483,-96.802186,15018,921,0,5
0000000012,220200000082,220200000553,2017-02-01 06:05,-6,,46.867736,-96.777589,46.870950,-96.768203,1142,162,0,5
0000000013,220200000196,220200000080,2017-02-01 06:15,-6,,46.820384,-96.802926,46.884913,-96.785970,8318,906,0,4
0000000014,220200000082,220200000159,2017-02-01 06:33,-6,,46.962068,-96.800312,46.882834,-96.771741,12149,1088,0,4
0000000015,220200000457,220200000394,2017-02-01 06:54,-6,Noir,46.868475,-96.856933,46.804677,-96.848378,8800,573,0,5
0000000016,220200000333,220200000553,2017-02-01 07:07,-6,,46.867736,-96.777589,46.875068,-96.794809,2838,385,0,5
0000000017,220200000446,220200000421,2017-02-01 07:10,-6,,46.860603,-96.789701,46.935469,-96.831332,16142,888,0,5
0000000018,220200000202,220200000462,2017-02-01 07:14,-6,Noir,46.900432,-96.765807,46.910972,-96.789108,6840,707,0,1
0000000019,220200000345,220200000358,2017-02-01 07:21,-6,,46.838265,-96.768914,46.869030,-96.785232,5998,743,0,4
0000000020,220200000343,220200000086,2017-02-01 07:25,-6,,46.851271,-96.801213,46.907317,-96.799586,7197,812,0,3
0000000021,220200000333,220200000165,2017-02-01 07:30,-6,,46.853118,-96.789865,46.884544,-96.787065,4323,527,0,2
0000000022,220200000446,220200000170,2017-02-01 07:30,-6,Noir,46.889475,-96.801551,46.862253,-96.838577,6059,636,0,5
0000000023,220200000498,220200000565,2017-02-01 07:39,-6,,46.854349,-96.844913,46.857084,-96.855108,1191,189,0,5
0000000024,220200000437,220200000287,2017-02-01 07:42,-6,Noir,46.883156,-96.312188,46.831437,-96.827593,,,1,
0000000025,220200000498,220200000280,2017-02-01 07:48,-6,,46.857260,-96.833414,46.858448,-96.848077,1694,256,0,3
0000000026,220200000202,220200000021,2017-02-01 07:53,-6,,46.913584,-96.780631,46.863183,-96.822742,8715,977,0,5
0000000027,220200000437,220200000332,2017-02-01 07:58,-6,,46.844485,-96.801469,46.780244,-96.799106,7542,589,0,5
0000000028,220200000333,220200000066,2017-02-01 08:07,-6,,46.883903,-96.794701,46.863183,-96.822742,4634,495,0,5
0000000029,220200000183,220200000295,2017-02-01 08:08,-6,,46.865274,-96.893555,46.862892,-96.904731,1258,210,0,5
0000000030,220200000140,220200000413,2017-02-01 08:22,-6,,46.838117,-96.765435,46.874829,-96.764198,4544,572,0,5
0000000031,220200000201,220200000604,2017-02-01 08:22,-6,,46.861123,-96.771746,46.873652,-96.773599,1548,208,0,5
0000000032,220200000196,220200000425,2017-02-01 08:24,-6,Grand,46.929712,-96.792784,46.874829,-96.764198,12478,810,0,4
0000000033,220200000457,220200000156,2017-02-01 08:42,-6,,46.811552,-96.811468,46.840208,-96.798207,4233,437,0,4
0000000034,220200000343,220200000038,2017-02-01 08:52,-6,,46.936882,-96.792596,46.884690,-96.786408,7008,725,0,5
0000000035,220200000426,220200000218,2017-02-01 08:59,-6,,46.872009,-96.854117,46.846044,-96.816618,6564,494,0,4
0000000036,220200000457,220200000332,2017-02-01 09:03,-6,,46.844485,-96.801469,46.871399,-96.809335,5202,573,0,5
0000000037,220200000343,220200000599,2017-02-01 09:11,-6,Noir,46.922337,-96.820208,46.845405,-96.762321,16568,908,0,2
0000000038,220200000201,220200000308,2017-02-01 09:12,-6,,46.864530,-96.770120,46.861083,-96.833229,9940,738,0,0
0000000039,220200000345,220200000261,2017-02-01 09:14,-6,,46.887537,-96.810385,46.853885,-96.797561,4432,500,0,5
0000000040,220200000446,220200000191,2017-02-01 09:33,-6,Noir,46.895864,-96.805807,46.877494,-96.787489,4089,667,0,3
0000000041,220200000183,220200000346,2017-02-01 09:35,-6,,46.875687,-96.879427,46.840588,-96.868087,5272,662,0,5
0000000042,220200000437,220200000130,2017-02-01 09:43,-6,Noir,46.911116,-96.778687,46.884682,-96.787727,3837,424,0,5
0000000043,220200000426,220200000530,2017-02-01 09:45,-6,,46.759496,-96.904200,46.800881,-96.820048,11717,759,0,5
0000000044,220200000498,220200000004,2017-02-01 09:46,-6,,46.873851,-96.906226,46.935469,-96.831332,13243,882,0,5
0000000045,220200000140,220200000404,2017-02-01 09:46,-6,,46.879279,-96.573955,46.868758,-96.768397,,,1,
0000000046,220200000183,220200000292,2017-02-01 09:53,-6,,46.820212,-96.856509,46.859183,-96.846525,5676,592,0,4
0000000047,220200000201,220200000544,2017-02-01 09:58,-6,,46.827653,-96.853057,46.853884,-96.797561,8921,672,0,5
0000000048,220200000457,220200000322,2017-02-01 10:03,-6,,46.887759,-96.822264,46.867533,-96.862722,5555,546,0,5
0000000049,220200000343,220200000504,2017-02-01 10:05,-6,,46.764800,-96.789096,46.878464,-96.789914,14450,1168,0,3
0000000050,220200000345,220200000117,2017-02-01 10:08,-6,,46.869229,-96.799757,46.873153,-96.784769,1598,255,0,4
0000000051,220200000437,220200000315,2017-02-01 10:10,-6,Noir,46.868786,-96.765593,46.867176,-96.759341,478,75,0,3
0000000052,220200000183,220200000433,2017-02-01 10:11,-6,,46.709337,-97.167855,46.889958,-96.843893,,,1,
0000000053,220200000426,220200000435,2017-02-01 10:15,-6,,46.824299,-96.812502,46.850947,-96.819205,3822,400,0,5
0000000054,220200000437,220200000260,2017-02-01 10:16,-6,Noir,46.882637,-96.782796,46.869881,-96.768322,2535,340,0,5
0000000055,220200000183,220200000230,2017-02-01 10:17,-6,,46.918625,-96.792770,46.878200,-96.726891,13571,868,0,5
0000000056,220200000201,220200000319,2017-02-01 10:19,-6,,46.834721,-96.764430,46.877558,-96.788092,6405,791,0,5
0000000057,220200000457,220200000280,2017-02-01 10:21,-6,,46.858448,-96.848077,46.857260,-96.833414,1721,260,0,5
0000000058,220200000202,220200000510,2017-02-01 10:22,-6,,46.844516,-96.859241,46.859393,-96.846426,2973,450,0,3
0000000059,220200000345,220200000046,2017-02-01 10:24,-6,,46.889493,-96.810336,46.905414,-96.775318,4610,556,0,5
0000000060,220200000437,220200000478,2017-02-01 10:26,-6,Noir,46.869803,-96.744645,46.863900,-96.824317,12359,783,0,5
0000000061,220200000457,220200000143,2017-02-01 10:33,-6,Elite,46.922337,-96.820208,46.855649,-96.856863,12618,783,0,5
0000000062,220200000140,220200000050,2017-02-01 10:36,-6,,46.912888,-96.495069,47.077113,-96.506315,,,1,
0000000063,220200000202,220200000599,2017-02-01 10:36,-6,Grand,46.845405,-96.762321,46.874817,-96.860349,11443,709,0,3
0000000064,220200000437,220200000079,2017-02-01 10:44,-6,Noir,46.864222,-96.896080,46.897753,-96.802437,11884,1057,0,4
0000000065,220200000201,220200000604,2017-02-01 10:47,-6,,46.861123,-96.771746,46.836632,-96.768843,3005,352,0,3
0000000066,220200000426,220200000096,2017-02-01 10:52,-6,,46.823630,-96.821047,46.884306,-96.763797,11184,1053,0,5
0000000067,220200000333,220200000525,2017-02-01 10:53,-6,,46.845471,-96.810615,46.816764,-96.863573,7327,795,0,5
0000000068,220200000201,220200000439,2017-02-01 11:06,-6,,46.855787,-96.771776,46.874153,-96.789238,3348,408,0,5
0000000069,220200000457,220200000482,2017-02-01 11:06,-6,Grand,47.041182,-97.078568,46.859181,-96.846520,,,1,
0000000070,220200000345,220200000038,2017-02-01 11:14,-6,,46.936882,-96.792596,46.919793,-96.825768,7583,675,0,5
0000000071,220200000201,220200000044,2017-02-01 11:22,-6,,46.858589,-96.785995,46.843586,-96.766800,5121,482,0,2
0000000072,220200000426,220200000462,2017-02-01 11:22,-6,,46.900432,-96.765807,46.873060,-96.772895,5919,628,0,5
0000000073,220200000333,220200000069,2017-02-01 11:23,-6,Noir,46.843247,-96.888438,46.843432,-96.763728,11408,706,0,2
0000000074,220200000437,220200000191,2017-02-01 11:27,-6,Noir,46.877494,-96.787489,46.895864,-96.805807,4109,601,0,5
